id_projeto_camara,nome_autor
44205,Oliveira Tresse
44107,Júlio Gasparette
43978,Luiz Otávio Fernandes Coelho - Pardal
31106,Cido
27368,Cido
46448,Júlio Gasparette
46446,Júlio Gasparette
46444,Júlio Gasparette
46440,Júlio Gasparette
46438,Júlio Gasparette
46436,Júlio Gasparette
46431,Júlio Gasparette
46426,Júlio Gasparette
46422,Júlio Gasparette
46415,Júlio Gasparette
46412,Júlio Gasparette
46569,Noraldino Júnior
46568,Noraldino Júnior
46066,Zé Márcio
46065,Zé Márcio
46073,Wanderson Castelar
46097,Jucelio
46033,Betão
46032,Betão
46179,Oliveira Tresse
46172,Oliveira Tresse
46171,Oliveira Tresse
46170,Oliveira Tresse
46169,Oliveira Tresse
46168,Oliveira Tresse
46164,Oliveira Tresse
46162,Oliveira Tresse
46366,Vagner de Oliveira
46364,Vagner de Oliveira
46362,Vagner de Oliveira
46360,Vagner de Oliveira
46357,Vagner de Oliveira
46354,Vagner de Oliveira
46352,Vagner de Oliveira
46064,Zé Márcio
46063,Zé Márcio
46062,Zé Márcio
46464,Dr. Fiorilo
46463,Dr. Fiorilo
46126,Ana Rossignoli
46310,Luiz Otávio Fernandes Coelho - Pardal
46309,Luiz Otávio Fernandes Coelho - Pardal
46308,Luiz Otávio Fernandes Coelho - Pardal
46307,Luiz Otávio Fernandes Coelho - Pardal
46306,Luiz Otávio Fernandes Coelho - Pardal
46305,Luiz Otávio Fernandes Coelho - Pardal
46304,Luiz Otávio Fernandes Coelho - Pardal
46303,Luiz Otávio Fernandes Coelho - Pardal
46302,Luiz Otávio Fernandes Coelho - Pardal
46299,Luiz Otávio Fernandes Coelho - Pardal
46298,Luiz Otávio Fernandes Coelho - Pardal
46061,Zé Márcio
46060,Zé Márcio
46152,Chico Evangelista
46031,André Mariano
46312,Luiz Otávio Fernandes Coelho - Pardal
46216,Dr. Fiorilo
46216,Luiz Otávio Fernandes Coelho - Pardal
46216,Wanderson Castelar
46215,Dr. Fiorilo
46215,Luiz Otávio Fernandes Coelho - Pardal
46215,Wanderson Castelar
46211,Dr. Fiorilo
46211,Luiz Otávio Fernandes Coelho - Pardal
46211,Wanderson Castelar
46076,Wanderson Castelar
46075,Wanderson Castelar
46074,Wanderson Castelar
46186,Oliveira Tresse
46185,Oliveira Tresse
46187,Oliveira Tresse
46184,Oliveira Tresse
46183,Oliveira Tresse
46182,Oliveira Tresse
46181,Oliveira Tresse
46180,Oliveira Tresse
46177,Oliveira Tresse
46176,Oliveira Tresse
46175,Oliveira Tresse
46174,Oliveira Tresse
46173,Oliveira Tresse
46461,Dr. Fiorilo
46488,Cido Reis
46541,Noraldino Júnior
46153,Chico Evangelista
46457,Cido Reis
46455,Cido Reis
46453,Cido Reis
46452,Cido Reis
46450,Cido Reis
46449,Cido Reis
46447,Cido Reis
46342,Vagner de Oliveira
46340,Vagner de Oliveira
46116,Betão
46115,Betão
46114,Betão
46107,Betão
46106,Betão
46102,Betão
46101,Betão
46349,Vagner de Oliveira
46348,Vagner de Oliveira
46346,Vagner de Oliveira
46344,Vagner de Oliveira
46099,Jucelio
46098,Jucelio
46553,Noraldino Júnior
46048,Isauro Calais
46047,Isauro Calais
46552,Cido Reis
46551,Cido Reis
46550,Cido Reis
46549,Cido Reis
46548,Cido Reis
46547,Cido Reis
46546,Cido Reis
46545,Cido Reis
46544,Cido Reis
46543,Cido Reis
46542,Cido Reis
46296,Luiz Otávio Fernandes Coelho - Pardal
46072,Wanderson Castelar
46071,Wanderson Castelar
46466,Júlio Gasparette
46465,Júlio Gasparette
46462,Júlio Gasparette
46460,Júlio Gasparette
46458,Júlio Gasparette
46456,Júlio Gasparette
46454,Júlio Gasparette
46451,Júlio Gasparette
46540,Noraldino Júnior
46539,Noraldino Júnior
46538,Noraldino Júnior
46537,Noraldino Júnior
46536,Noraldino Júnior
46535,Noraldino Júnior
46534,Noraldino Júnior
46350,Dr. Fiorilo
46347,Dr. Fiorilo
46345,Dr. Fiorilo
46559,Cido Reis
46558,Cido Reis
46557,Cido Reis
46556,Cido Reis
46554,Cido Reis
46067,Zé Márcio
46151,Chico Evangelista
46560,Cido Reis
46209,Dr. Antônio Aguiar
46207,Dr. Antônio Aguiar
46205,Dr. Antônio Aguiar
46202,Dr. Antônio Aguiar
46315,Luiz Otávio Fernandes Coelho - Pardal
46160,Oliveira Tresse
46159,Oliveira Tresse
46158,Oliveira Tresse
46496,Cido Reis
46493,Cido Reis
46492,Cido Reis
46338,Vagner de Oliveira
46363,Dr. Fiorilo
46059,Zé Márcio
46150,Chico Evangelista
46125,Ana Rossignoli
46334,Luiz Otávio Fernandes Coelho - Pardal
46675,Júlio Gasparette
46674,Júlio Gasparette
46673,Júlio Gasparette
46361,Dr. Fiorilo
46359,Dr. Fiorilo
46358,Dr. Fiorilo
46037,Isauro Calais
46036,Isauro Calais
46124,Ana Rossignoli
46123,Ana Rossignoli
46096,Jucelio
46672,Júlio Gasparette
46671,Júlio Gasparette
46669,Júlio Gasparette
46667,Júlio Gasparette
46665,Júlio Gasparette
46663,Júlio Gasparette
46661,Júlio Gasparette
46659,Júlio Gasparette
46658,Júlio Gasparette
46657,Júlio Gasparette
46656,Júlio Gasparette
46655,Júlio Gasparette
46654,Júlio Gasparette
46653,Júlio Gasparette
46652,Júlio Gasparette
46398,Noraldino Júnior
46396,Noraldino Júnior
47179,Noraldino Júnior
46394,Noraldino Júnior
46392,Noraldino Júnior
46391,Noraldino Júnior
46390,Noraldino Júnior
46388,Noraldino Júnior
46387,Noraldino Júnior
46355,Noraldino Júnior
46289,Noraldino Júnior
46288,Noraldino Júnior
46253,Noraldino Júnior
46250,Noraldino Júnior
46249,Noraldino Júnior
46246,Noraldino Júnior
46332,Luiz Otávio Fernandes Coelho - Pardal
46331,Luiz Otávio Fernandes Coelho - Pardal
46319,Luiz Otávio Fernandes Coelho - Pardal
46730,Luiz Otávio Fernandes Coelho - Pardal
46318,Luiz Otávio Fernandes Coelho - Pardal
46317,Luiz Otávio Fernandes Coelho - Pardal
46316,Luiz Otávio Fernandes Coelho - Pardal
46356,Dr. Fiorilo
46353,Dr. Fiorilo
46351,Dr. Fiorilo
46198,Dr. Antônio Aguiar
46197,Dr. Antônio Aguiar
46509,Cido Reis
46650,Júlio Gasparette
46647,Júlio Gasparette
46645,Júlio Gasparette
46643,Júlio Gasparette
46641,Júlio Gasparette
46639,Júlio Gasparette
46636,Júlio Gasparette
46634,Júlio Gasparette
