Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
4136,2014,Mensagem do Executivo (Projeto de Lei Complementar),"Altera a redação dos arts. 94, 97, 103 e 223, da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGPC,50317,19/11/2014,SIM,SIM
4127,2014,Mensagem do Executivo (Projeto de Lei Complementar),Dispõe sobre a Operação Urbana Consorciada Dom Silvério e dá outras providências.,Arquivada,Executivo,MSGPC,49730,16/09/2014,SIM,NAO
4125,2014,Mensagem do Executivo (Projeto de Lei Complementar),"Acrescenta o inciso XIX e os §§ 4º, 5º e 6º ao art. 61, da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.",Arquivada,Executivo,MSGPC,0,,,
4124,2014,Mensagem do Executivo (Projeto de Lei Complementar),"Altera dispositivos da Lei Municipal nº 8.710, de 31 de julho de 1995, da Lei Municipal nº 12.103, de 30 de julho de 2010 e dá outras providências.",Arquivada,Executivo,MSGPC,0,,,
4096,2014,Mensagem do Executivo (Projeto de Lei Complementar),"Altera a redação do art. 61, da Lei nº 8.710, de 31 de julho de 1995 (""Dispõe sobre o Estatuto dos servidores públicos da administração direta do Município de Juiz de Fora, de suas autarquias e fundações públicas""), com suas alterações posteriores.",Arquivada,Executivo,MSGPC,0,,,
4221,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Altera a Lei nº 8.710, de 31 de julho de 1995, a Lei nº 9.212, de 27 de janeiro de 1998 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4196,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Altera os arts. 1º, 2º, 3º e 9º da Lei nº 12.325, de 20 de julho de 2011, os arts. 61 e 197 da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4187,2015,Mensagem do Executivo (Projeto de Lei Complementar),Dispõe sobre a criação da gratificação pelo exercício de plantão médico por profissionais da carreira de Médico e dá outras providências.,Arquivada,Executivo,MSGPC,0,,,
4181,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Dispõe sobre o prazo para cumprimento do encargo referido no art. 1º, da Lei nº 11.325, de 28 de fevereiro de 2007 e dá outras providências. ",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4178,2015,Mensagem do Executivo (Projeto de Lei Complementar),Dispõe sobre a criação do Adicional de Participação em Equipe de Apoio de Coleta de Resíduos (APAC) e dá outras providências.,Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4157,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Projeto de Lei complementar que tem por escopo acrescentar dispositivo ao art. 197, da Lei n° 8.710, de 31 de julho de 1995 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4156,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Insere o art. 65-B na Lei Municipal nº 6.909, de 31 de maio de 1986 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
4151,2015,Mensagem do Executivo (Projeto de Lei Complementar),"Altera a redação de dispositivos da Lei n° 5.546, de 26 de dezembro de 1978, que ""Institui o Código Tributário Municipal"", com suas alterações posteriores"".",Transformado em Norma Jurídica,Executivo,MSGPC,0,,,
