Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
1647,2014,Requerimento,Solicita junto a fundação Dorina Nowill para receber livros em braille.,Arquivada,Jucelio,REQ,48662,,,
1646,2014,Requerimento,Solicita junta a Secrtetaria de Educação contato com a funadação Dorina Nowill livros e braille.,Arquivada,Jucelio,REQ,48661,,,
1645,2014,Requerimento,"Solicita Secretarias competentes, no sentido de vistoriar, antes da sua inauguração, a pista de skate construída na Praça de Esportes e Cultura (CEU)",Arquivada,Jucelio,REQ,48660,,,
1644,2014,Requerimento,"Solicita capina, limpeza nos dois lados acostamento da estrada Anna Pereira Delgado. ",Arquivada,Dr. Fiorilo,REQ,48616,,,
1643,2014,Requerimento,Solicita tapa buraco na rua Sarandira no bairro Santa Luzia.,Arquivada,Dr. Fiorilo,REQ,48615,,,
1642,2014,Requerimento,Solicita restauração do piso da calçada do viaduto Ramirez Mazzato Gonzales.,Arquivada,Zé Márcio,REQ,48437,,,
1641,2014,Requerimento,Solicita reparo na stampas de boca de lobo na rua Sinval Correa esquina com rua Major João Martins.,Arquivada,Zé Márcio,REQ,48436,,,
1640,2014,Requerimento,Solicita restauração do piso da calçada no entorno da Av. Brasil da Ponte Terezinha.,Arquivada,Zé Márcio,REQ,48435,,,
1639,2014,Requerimento,Solicita colocação de grade em boca de lobo nas ruas do bairro Bairu.,Arquivada,Zé Márcio,REQ,48434,,,
1638,2014,Requerimento,Solicita que coloque um poste de iluminação em um ponto cego na rua do bairro Olga Bunier.,Arquivada,Chico Evangelista,REQ,48513,,,
1637,2014,Requerimento,Solicita capina e limpeza em todas as ruas do Bairro Industrial. ,Arquivada,Chico Evangelista,REQ,48514,,,
1636,2014,Requerimento,"Solicita ônibus da linha de n° 600, no bairro Monte Castelo, faça o seguinte itinerário: Passe pela Rua Agulhas Negras, retorne pela Rua Amanbaí e vá no sentido centro. ",Arquivada,Chico Evangelista,REQ,48530,,,
1635,2014,Requerimento,"Solicita Audiência Pública, para tratar do tema da insegurança dos estabelecimentos comerciais.",Arquivada,Noraldino Júnior,REQ,49210,,,
1634,2014,Requerimento,Solicita estudo para que o ônibus que faz as linhas 106 e 118 do bairro parque independência.,Arquivada,Júlio Gasparette,REQ,48562,,,
1633,2014,Requerimento,Solicita corte de árvore nas ruas do bairro Grajaú.,Arquivada,Júlio Gasparette,REQ,48561,,,
1632,2014,Requerimento,Solicita fiscalização nos horários da linha de coletivo urbano 145 bairro Centenario.,Arquivada,Júlio Gasparette,REQ,48560,,,
1631,2014,Requerimento,Solicita que providencia luminárias nos postes na rua A. bairro jardim Cachoeira.,Arquivada,Júlio Gasparette,REQ,48559,,,
1630,2014,Requerimento,Solicita pintura das faixas de sinalização em toda extensão da Av. Juiz de Fora.,Arquivada,Júlio Gasparette,REQ,48558,,,
1629,2014,Requerimento,Solicita limpeza no córrego Humaitá no bairro Francisco Bernardino.,Arquivada,Júlio Gasparette,REQ,48557,,,
1628,2014,Requerimento,Solicita extensão de rede de abastecimento de água na rua Arco-Iris.,Arquivada,Júlio Gasparette,REQ,48556,,,
1627,2014,Requerimento,"Solicita capina, limpeza em todas as ruas do bairro Pedras Preciosas.",Arquivada,Júlio Gasparette,REQ,48555,,,
1626,2014,Requerimento,"Solicita capina, limpeza na rua Francisco dos Alfineiros Oliveira no bairro Jardim dos Alfineiros.",Arquivada,Júlio Gasparette,REQ,48554,,,
1625,2014,Requerimento,"Solicita a a capina e limpeza na esquina entre a Rua Itatiaia com a Rua Itacolomi, bairro Monte Castelo. ",Arquivada,Wanderson Castelar,REQ,48275,,,
1624,2014,Requerimento,"Solicita a a limpeza e desobstrução das ""bocas de lobo"", na Rua Sueni Sacconi, bairro Monte Castelo. ",Arquivada,Wanderson Castelar,REQ,48274,,,
1623,2014,Requerimento,"Solicita que que realize reparos na escada de ferro, localizada na Rua Primeira Vitória, bairro Santo Antônio. ",Arquivada,Wanderson Castelar,REQ,48273,,,
1622,2014,Requerimento,"Solicita que , que coloque um novo abrigo de ônibus na Rua Domingo Demalura, entre a Rua Manoel Alves e a Rua Manoel Ribeiro, bairro Santo Antônio. ",Arquivada,Wanderson Castelar,REQ,48272,,,
