Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
24,2017,Pedido de Informação,Solicita que nos informe acerca dos contratos administrativos existente entre a Prefeitura Municipal de Juiz de Fora e empresas prestadoras de serviços gerais e de atendimento ao público.,,Vagner de Oliveira,PEDIF,0,,,
23,2017,Pedido de Informação,"Solicita informações sobre um terreno abandonado em frente a Escola Estadual Dilermando Costa Cruz, Rua Diva Garcia n° 2171, Bairro Linhares.",Arquivada,Cido Reis,PEDIF,60018,,,
22,2017,Pedido de Informação FiscalizaJF,Solicita informações sobre a Escola Municipal Jardim de Alá.,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,61638,,,
22,2017,Pedido de Informação,"Solicita informações sobre os profissionais não docentes das instituições de Educação Infantil, públicas e privadas.",Arquivada,Sargento Mello Casal,PEDIF,60020,,,
21,2017,Pedido de Informação FiscalizaJF,Solicita informações sobre UAPS do Bairro Industrial.,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,61637,,,
21,2017,Pedido de Informação,"Solicita que nos informe acerca da emenda parlamentar destinada pela Deputada Federal Margarida Salomão, que será utilizada para a construção de uma academia ao ar livre no Bairro Centenário.",Arquivada,Luiz Otávio Fernandes Coelho - Pardal,PEDIF,59962,,,
20,2017,Pedido de Informação FiscalizaJF,Solicita pedido de informação junto ao Poder Executivo sobre a Praça Aristeu Augusto de Assis,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,61618,,,
20,2017,Pedido de Informação,"Solicita que sejam prestadas todas as informações sobre a prestação de contas dos recursos financeiros repassados à Associação de Moradores do Bairro Carlos Chagas, nesta urbe, através Fundo Municipal de Incentivo a Organização Comunitária, enviando, inclusive, se possível, cópia de toda a documentação pertinente, dos últimos três anos.",Arquivada,Sargento Mello Casal,PEDIF,0,,,
19,2017,Pedido de Informação FiscalizaJF,Solicita informações sobre a Praça Paulo de Souza Lamarca.,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,0,,,
19,2017,Pedido de Informação,"Solicita que sejam prestadas todas as informações sobre o procedimento adotado para implantação do sistema de área azul no bairro Santa Terezinha nesta urbe, enviando, inclusive, se possível, cópia de toda a documentação pertinente.",Arquivada,Sargento Mello Casal,PEDIF,59999,,,
18,2017,Pedido de Informação FiscalizaJF,Solicita informações sobre a UAPS do Bairro Santa Rita de Cássia.,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,61634,,,
18,2017,Pedido de Informação,"Solicita informação sobre sobre o funcionamento referente ao acionamento das ambulâncias do STIH (SERVIÇO DE TRANSPORTE INTER HOSPITALAR) quando do surgimento de vagas em hospitais para pacientes que estão aguardando nas UPAS ou UAPS, vagas para internação ou exames nos hospitais conveniados, tendo em vista a demora em até 12 hrs de espera sem que houvesse justificativa.",Arquivada,Sargento Mello Casal,PEDIF,0,,,
17,2017,Pedido de Informação FiscalizaJF,Solicita informação junto a Prefeitura sobre a UAPS do bairro Santa Cruz,Arquivada,Mesa Diretora - biênio 2017/2018,PEDFF,61057,,,
17,2017,Pedido de Informação,"Solicita informação sobre o andamento do processo para o desmembramento do anexo da Escola Municipal Maria Catarina Barbosa, localizada no Bairro Miguel Marinho, Rua Iolanda Falei Ronzani, número 3.",Arquivada,Kennedy Ribeiro,PEDIF,60031,,,
