Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
127,2017,Pedido de Informação,E. M. Ilva Mello Reis - Fiscaliza JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64487,14/12/2017,SIM,SIM
126,2017,Pedido de Informação,E. M. Jerônimo Vieira Tavares - Fiscaliza JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64486,14/12/2017,SIM,SIM
125,2017,Pedido de Informação,E. M. Doutor Antonino Lessa - Fiscaliza JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64485,14/12/2017,SIM,SIM
124,2017,Pedido de Informação,E. M. Almerinda de Oliveira Tavares - Fiscaliza JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64484,14/12/2017,SIM,SIM
123,2017,Pedido de Informação,E. M. Cosette de Alencar - FISCALIZA JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64109,14/12/2017,SIM,SIM
122,2017,Pedido de Informação,E. M. Clotilde Peixoto Hargreaves - FISCALIZA JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64107,14/12/2017,SIM,SIM
121,2017,Pedido de Informação,CEM - FISCALIZA JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64106,14/12/2017,SIM,SIM
120,2017,Pedido de Informação,CRAS Leste - FISCALIZA JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64105,14/12/2017,SIM,SIM
119,2017,Pedido de Informação,CRAS Nordeste - FISCALIZA JF,Aprovado,"Rodrigo Mattos, Dr. Antônio Aguiar, Delegada Sheila",PEDIF,64104,14/12/2017,SIM,SIM
118,2017,Pedido de Informação,"Solicita ao Exmo. Sr. Prefeito Bruno Siqueira para prestar informações, através da Secretaria de Meio Ambiente, sobre o seguinte: 1. Quais os critérios usados para autorizar as pessoas que atualmente exploram o comércio de alimentos e venda de produtos no espaço físico do Parque da Lajinha? 2. Qual é a modalidade contratual usada para autorizar o comércio no local? Há controle da administração sobre os alimentos/produtos disponibilizados ao público? 3. Há planejamento ou possibilidade de estabelecer exploração formal de lanchonete/restaurante, ou similar, para melhor atender ao público, proporcionando controle mais eficaz da qualidade dos alimentos e produtos disponíveis? Se positivo, o que a SMA tem em seu planejamento para tanto? ",Aprovado,Dr. Fiorilo,PEDIF,64024,06/12/2017,SIM,SIM
117,2017,Pedido de Informação,Vans Escolares Clandestinas,Aprovado,Dr. Adriano Miranda,PEDIF,63939,30/11/2017,SIM,SIM
116,2017,Pedido de Informação,Informações sobre o Projeto Olho Vivo,Aprovado,Júlio Obama Jr.,PEDIF,63808,29/11/2017,SIM,SIM
115,2017,Pedido de Informação,UBS do Bairro São Pedro,Aprovado,Júlio Obama Jr.,PEDIF,63181,29/11/2017,SIM,SIM
114,2017,Pedido de Informação,Solicitação de Informação de Bem Público,Aprovado,Vagner de Oliveira,PEDIF,63885,29/11/2017,SIM,SIM
113,2017,Pedido de Informação,Ligação irregular de rede de água e esgoto.,Aprovado,Rodrigo Mattos,PEDIF,63830,28/11/2017,SIM,SIM
112,2017,Pedido de Informação,Requerimento - Solicitação de Informação - Falta de Sinal,Aprovado,"Marlon Siqueira, André Mariano, Vagner de Oliveira, Delegada Sheila",PEDIF,63764,23/11/2017,SIM,SIM
111,2017,Pedido de Informação,Solicitação de informação acerca das reclamações em geral dos serviços de telecomunicações,Aprovado,Marlon Siqueira,PEDIF,63759,23/11/2017,SIM,SIM
110,2017,Pedido de Informação,Solicitação de informação sobre reclamações sobre serviços de telecomunicações,Aprovado,"Marlon Siqueira, André Mariano, Vagner de Oliveira, Delegada Sheila",PEDIF,63756,23/11/2017,SIM,SIM
