Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
11,2021,Requerimento,"Requeiro a Excelentíssima Senhora Prefeita Municipal junto ao Setor de Energia, efetue instalação de iluminação pública em toda a extensão da Rua Alcebíades Mendes no bairro Linhares.",Aprovado,Bejani Júnior,REQ,,,,
11,2021,Projeto de Resolução,Aprova as Contas da Prefeitura Municipal de Juiz de Fora referentes ao exercício financeiro de 2017.,Transformado em Norma Jurídica,"André Luiz, Vagner de Oliveira, Nilton Militão",PRES,,,,
10,2021,Projeto de Lei Complementar,"Altera a Lei nº 6.910, de 31 de maio de 1986, quanto ao zoneamento no bairro Santo Antônio.",Transformado em Norma Jurídica,João Wagner,PLEIC,,,,
10,2021,Projeto de Lei,Institui a utilização do nome social no município de Juiz de Fora.,Transformado em Norma Jurídica,Laiz Perrut,PLEI,,,,
10,2021,Representação,Representação a Excelentissima Senhora Prefeita Margarida Salomão -  Prefeitura Municipal de Juiz de Fora,Arquivada,Dr. Antônio Aguiar,REP,,,,
10,2021,Pedido de Informação,Que seja solicitada à Prefeitura Municipal a prestação de informações sobre os números oficiais decastrações realizadas pelo município de Juiz de Fora entre os dias 1 de janeiro de 2013 e 31 de dezembro de 2020. Solicito que as informações sejam separadas mensalmente.,Aprovado,Kátia Franco Protetora,PEDIF,,,,
10,2021,Moção,Moção de Pesar pelo falecimento do ex Deputado Federal Bonifácio José Tamm de Andrada,Aprovado,André Luiz,MOC,,,,
10,2021,Requerimento,"Requeiro a Exma. Sra. Prefeita Municipal, junto a Secretaria de Transporte e Trânsito o estudo de viabilidade de AMPLIAÇÃO DO ACESSO DA LINHA DE ÔNIBUS 601 do Bairro Parque das águas.",Aprovado,Bejani Júnior,REQ,,,,
10,2021,Projeto de Resolução,Cria o Centro Integrado de Atendimento à Mulher no âmbito da Câmara Municipal de Juiz de Fora,Transformado em Norma Jurídica,"Juraci Scheffer, Dr. Antônio Aguiar, Nilton Militão",PRES,,,,
9,2021,Projeto de Lei Complementar,Altera a Lei Municipal n° 6.910 de 31 de maio de 1986 e legislações pertinentes posteriores.,Transformado em Norma Jurídica,"Vagner de Oliveira, André Luiz, Marlon Siqueira, Tiago Bonecão",PLEIC,,,,
