Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
40520,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita urbanização na rua Antônio Celeste, no bairro Centenário.",,Arquivada
,,,,,,,,,,
4028,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita limpeza nas bocas de lobo no bairro Cerâmica.,,Arquivada
,,,,,,,,,,
36840,   ,2013,,Requerimento,,Luiz Otávio Fernandes Coelho - Pardal,,"solicita recapemamento asfáltico na rua Orlando |Riani, no bairro NossaSenhora Aparecida.",,Em Tramitação
,,,,,,,,,,
891,   ,2013,,Requerimento,,Cido,,Solicita o asfaltamento de toidas as ruas da Comunidade Santo Agostinho no bairro Santa Cruz,,Arquivada
,,,,,,,,,,
8890,   ,2013,,Requerimento,,Cido,,Solicita o asfaltamento de todas as ruas da comuidade Santa Clara no bairro Santa Cruz,,Arquivada
,,,,,,,,,,
5899,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a implantação de cobertura de ponto de ônibus na Rua Araxá no Bairro São Benedito.,,Arquivada
,,,,,,,,,,
5898,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a capina e limpeza na Rua Tenente Barroso no Bairro Manoel Honório.,,Arquivada
,,,,,,,,,,
5897,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a implantação de sinalização horizontal e vertical em todas as Ruas do Bairro Nova Gramado.,,Arquivada
,,,,,,,,,,
5896,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a limpeza nos córregos do Bairro Carlos Chagas e Francisco Bernanrdino.,,Arquivada
,,,,,,,,,,
5895,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a substituição de tampa de bueiro quebrada na Rua Agilberto Costa no Bairro São Benedito.,,Arquivada
,,,,,,,,,,
5894,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita operação tapa buraco em toda extensão da Rua Vitorino Braga no Bairro Vitorino Braga.,,Arquivada
,,,,,,,,,,
5893,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a reforma da Praça no Bairro Nossa Senhora das Graças.,,Arquivada
,,,,,,,,,,
5892,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita um estudo para aumento da quantidade de Ônibus nos horários de pico para atender a comunidade do Bairro Bom Sucesso.,,Arquivada
,,,,,,,,,,
5891,   ,2013,,Requerimento,,Júlio Gasparette,,"Solicita alteração do ponto final do ônibus 726, para que o mesmo vire na clinica Resgatando Vidas no Bairro Igrejinha/Cachoeira.",,Arquivada
,,,,,,,,,,
5890,   ,2013,,Requerimento,,Júlio Gasparette,,"Solicita estudo para implantação de um ""GUARD RAIL"" na Rua Eurico Viana no Bairro Vila Alpina.",,Arquivada
,,,,,,,,,,
5889,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita estudo para implementação de feira livre no Bairro Grama.,,Arquivada
,,,,,,,,,,
5888,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita o corte de uma árvore na rua sebastião de Andrade no Bairro Eldorado.,,Arquivada
,,,,,,,,,,
5887,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a instalação de semáforo no cruzamento entre as ruas Santo Antônio e Silva Jardim no Centro.,,Arquivada
,,,,,,,,,,
5886,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Settra, alteração de embarque e desembarque na rua Santo Antonio.",,Arquivada
,,,,,,,,,,
5885,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Settra, instalação de equipamentos para segurança de pedestres na Avenida Rio Branco com rua Afonso Pinto da Mota.",,Arquivada
,,,,,,,,,,
5884,   ,2013,,Requerimento,,Wanderson Castelar,,Solicita sinalização horizontal na Avenida dos Andradas.,,Arquivada
,,,,,,,,,,
5883,   ,2013,,Requerimento,,Jucelio,,"Solicita que o proprietário dos automóveis que ficam na rua João Manata, no bairro Dom Bosco, sejam guardados em local apropriado.",,Arquivada
,,,,,,,,,,
5882,   ,2013,,Requerimento,,Betão,,Solicita que a diferença dos créditos sejam encaminhados à Secretaria de Obras.,,Arquivada
,,,,,,,,,,
5881,   ,2013,,Requerimento,,Betão,,"Solicita contrução de boca de lobo na rua Engenheiro José Marcio Paschoalino, no bairro Jardim Gaúcho",,Arquivada
,,,,,,,,,,
5880,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita limpeza da rua Maria Augusta, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5879,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita recapeamento asfáltico na rua Maria Augusta, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5878,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita poda de árvores na Avenida Pedro Afonso Pinheiro, no bairro Jardim Gaúcho",,Arquivada
,,,,,,,,,,
