id_projeto_camara,nome_autor
105740,Juraci Scheffer
105738,Juraci Scheffer
105720,Juraci Scheffer
105715,Juraci Scheffer
105713,Juraci Scheffer
105690,Juraci Scheffer
105682,Juraci Scheffer
105679,Juraci Scheffer
105676,Juraci Scheffer
105674,Juraci Scheffer
105672,Juraci Scheffer
105662,Juraci Scheffer
105654,Juraci Scheffer
105652,Juraci Scheffer
105646,Juraci Scheffer
105644,Juraci Scheffer
105642,Juraci Scheffer
105638,Juraci Scheffer
105637,Juraci Scheffer
105635,Juraci Scheffer
105634,Juraci Scheffer
105632,Juraci Scheffer
105629,Juraci Scheffer
105628,Juraci Scheffer
105627,Juraci Scheffer
105649,Luiz Otávio Fernandes Coelho - Pardal
105530,Luiz Otávio Fernandes Coelho - Pardal
105525,Luiz Otávio Fernandes Coelho - Pardal
105520,Luiz Otávio Fernandes Coelho - Pardal
105655,Cido Reis
105647,Cido Reis
105640,Cido Reis
105618,Cido Reis
105617,Cido Reis
105616,Cido Reis
105745,Vagner de Oliveira
105703,Vagner de Oliveira
105699,Vagner de Oliveira
105695,Vagner de Oliveira
105625,Vagner de Oliveira
105624,Vagner de Oliveira
105681,Zé Márcio
105677,Zé Márcio
105668,Zé Márcio
105606,Nilton Militão
105714,Sargento Mello Casal
105684,Sargento Mello Casal
103044,Sargento Mello Casal
105743,Marlon Siqueira
105730,Marlon Siqueira
105727,Marlon Siqueira
105717,Marlon Siqueira
105701,Marlon Siqueira
105700,Marlon Siqueira
105723,Kátia Franco Protetora
105722,Kátia Franco Protetora
105721,Kátia Franco Protetora
105719,Kátia Franco Protetora
105718,Kátia Franco Protetora
105716,Kátia Franco Protetora
105711,Kátia Franco Protetora
105739,Bejani Júnior
105737,Bejani Júnior
105734,Bejani Júnior
105689,Bejani Júnior
105671,Bejani Júnior
105670,Bejani Júnior
105667,Bejani Júnior
105665,Bejani Júnior
105663,Bejani Júnior
105661,Bejani Júnior
105653,Bejani Júnior
105651,Bejani Júnior
105650,Bejani Júnior
105648,Bejani Júnior
105645,Bejani Júnior
105643,Bejani Júnior
105641,Bejani Júnior
105639,Bejani Júnior
105636,Bejani Júnior
105633,Bejani Júnior
105631,Bejani Júnior
105712,Tiago Bonecão
105710,Tiago Bonecão
105708,Tiago Bonecão
105706,Tiago Bonecão
105704,Tiago Bonecão
105660,Tiago Bonecão
105626,Tiago Bonecão
105623,Tiago Bonecão
105622,Tiago Bonecão
105478,Tiago Bonecão
105688,Julinho Rossignoli
105664,Maurício Delgado
105659,Maurício Delgado
105658,Maurício Delgado
105657,Maurício Delgado
105702,João Wagner
105698,João Wagner
105696,João Wagner
105683,João Wagner
105680,João Wagner
105678,João Wagner
105675,João Wagner
105246,André Luiz
105219,André Luiz
105119,André Luiz
103364,André Luiz
103274,André Luiz
103205,André Luiz
100257,André Luiz
105709,Laiz Perrut
105697,Laiz Perrut
105673,Laiz Perrut
105669,Laiz Perrut
105666,Laiz Perrut
105615,Laiz Perrut
105547,Laiz Perrut
105546,Laiz Perrut
105694,Cida Oliveira
105687,Cida Oliveira
105593,Juraci Scheffer
105589,Juraci Scheffer
105574,Juraci Scheffer
105543,Juraci Scheffer
105541,Juraci Scheffer
105539,Juraci Scheffer
105538,Juraci Scheffer
105537,Juraci Scheffer
105536,Juraci Scheffer
105535,Juraci Scheffer
105533,Juraci Scheffer
105532,Juraci Scheffer
105531,Juraci Scheffer
105528,Juraci Scheffer
105523,Juraci Scheffer
105522,Juraci Scheffer
105521,Juraci Scheffer
105518,Juraci Scheffer
105516,Juraci Scheffer
105515,Juraci Scheffer
105513,Juraci Scheffer
105510,Juraci Scheffer
105508,Juraci Scheffer
105507,Juraci Scheffer
105504,Juraci Scheffer
105503,Juraci Scheffer
105502,Juraci Scheffer
105498,Juraci Scheffer
105496,Juraci Scheffer
105494,Juraci Scheffer
105529,Luiz Otávio Fernandes Coelho - Pardal
105511,Luiz Otávio Fernandes Coelho - Pardal
105509,Luiz Otávio Fernandes Coelho - Pardal
105506,Luiz Otávio Fernandes Coelho - Pardal
105505,Luiz Otávio Fernandes Coelho - Pardal
105595,Dr. Antônio Aguiar
105591,Vagner de Oliveira
105579,Vagner de Oliveira
105578,Vagner de Oliveira
105573,Vagner de Oliveira
105570,Vagner de Oliveira
105552,Vagner de Oliveira
105545,Vagner de Oliveira
105527,Vagner de Oliveira
105526,Vagner de Oliveira
105524,Vagner de Oliveira
105512,Vagner de Oliveira
105499,Vagner de Oliveira
105492,Vagner de Oliveira
105488,Vagner de Oliveira
105486,Vagner de Oliveira
105472,Vagner de Oliveira
105471,Vagner de Oliveira
105464,Vagner de Oliveira
105463,Vagner de Oliveira
105462,Vagner de Oliveira
105461,Vagner de Oliveira
105460,Vagner de Oliveira
105519,Zé Márcio
105517,Zé Márcio
105514,Zé Márcio
105476,Zé Márcio
105475,Zé Márcio
105474,Zé Márcio
105550,Nilton Militão
105557,Sargento Mello Casal
105409,Sargento Mello Casal
105571,Marlon Siqueira
105561,Marlon Siqueira
105556,Marlon Siqueira
105594,Kátia Franco Protetora
105592,Kátia Franco Protetora
105590,Kátia Franco Protetora
105588,Kátia Franco Protetora
105586,Kátia Franco Protetora
105584,Kátia Franco Protetora
105583,Kátia Franco Protetora
105544,Tallia Sobral
105542,Tallia Sobral
105551,Bejani Júnior
105497,Bejani Júnior
105495,Bejani Júnior
105493,Bejani Júnior
105482,Bejani Júnior
105481,Bejani Júnior
105480,Bejani Júnior
105479,Bejani Júnior
105477,Bejani Júnior
105470,Tiago Bonecão
105469,Tiago Bonecão
105468,Tiago Bonecão
105466,Tiago Bonecão
105465,Tiago Bonecão
105378,Tiago Bonecão
105558,Julinho Rossignoli
105555,Julinho Rossignoli
105554,Julinho Rossignoli
105501,Julinho Rossignoli
105500,Julinho Rossignoli
105491,Julinho Rossignoli
105490,Julinho Rossignoli
105489,Julinho Rossignoli
105572,Maurício Delgado
105569,Maurício Delgado
105560,Maurício Delgado
105587,João Wagner
105582,João Wagner
105580,João Wagner
105577,João Wagner
105576,João Wagner
105241,André Luiz
103281,André Luiz
100614,André Luiz
100536,André Luiz
100001,André Luiz
105459,Juraci Scheffer
105458,Juraci Scheffer
105455,Juraci Scheffer
105453,Juraci Scheffer
105452,Juraci Scheffer
105451,Juraci Scheffer
105450,Juraci Scheffer
105447,Sargento Mello Casal
105445,Sargento Mello Casal
105449,Bejani Júnior
105457,André Luiz
105457,Vagner de Oliveira
105244,André Luiz
103612,André Luiz
100358,André Luiz
100262,André Luiz
100000,André Luiz
99872,André Luiz
105444,Laiz Perrut
105412,Juraci Scheffer
105410,Juraci Scheffer
105408,Juraci Scheffer
105407,Juraci Scheffer
105406,Juraci Scheffer
105404,Juraci Scheffer
105401,Juraci Scheffer
105400,Juraci Scheffer
105350,Luiz Otávio Fernandes Coelho - Pardal
105341,Luiz Otávio Fernandes Coelho - Pardal
105339,Luiz Otávio Fernandes Coelho - Pardal
105338,Luiz Otávio Fernandes Coelho - Pardal
105419,Zé Márcio
105399,Zé Márcio
105397,Nilton Militão
105391,Sargento Mello Casal
105442,Marlon Siqueira
105418,Marlon Siqueira
105413,Marlon Siqueira
105398,Marlon Siqueira
105436,Kátia Franco Protetora
105434,Kátia Franco Protetora
105433,Kátia Franco Protetora
105432,Kátia Franco Protetora
105431,Kátia Franco Protetora
105430,Kátia Franco Protetora
105390,Kátia Franco Protetora
105389,Kátia Franco Protetora
