Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
40520.0,2013.0,Requerimento,Oliveira Tresse,"Solicita urbanização na rua Antônio Celeste, no bairro Centenário.",Arquivada,REQ,44205,09/07/2013
4028.0,2013.0,Requerimento,Júlio Gasparette,Solicita limpeza nas bocas de lobo no bairro Cerâmica.,Arquivada,REQ,44107,09/07/2013
36840.0,2013.0,Requerimento,Luiz Otávio Fernandes Coelho - Pardal,"solicita recapemamento asfáltico na rua Orlando |Riani, no bairro NossaSenhora Aparecida.",Em Tramitação,REQ,43978,09/07/2013
891.0,2013.0,Requerimento,Cido,Solicita o asfaltamento de toidas as ruas da Comunidade Santo Agostinho no bairro Santa Cruz,Arquivada,REQ,31106,09/07/2013
8890.0,2013.0,Requerimento,Cido,Solicita o asfaltamento de todas as ruas da comuidade Santa Clara no bairro Santa Cruz,Arquivada,REQ,27368,09/07/2013
5899.0,2013.0,Requerimento,Júlio Gasparette,Solicita a implantação de cobertura de ponto de ônibus na Rua Araxá no Bairro São Benedito.,Arquivada,REQ,46448,09/07/2013
5898.0,2013.0,Requerimento,Júlio Gasparette,Solicita a capina e limpeza na Rua Tenente Barroso no Bairro Manoel Honório.,Arquivada,REQ,46446,09/07/2013
5897.0,2013.0,Requerimento,Júlio Gasparette,Solicita a implantação de sinalização horizontal e vertical em todas as Ruas do Bairro Nova Gramado.,Arquivada,REQ,46444,09/07/2013
5896.0,2013.0,Requerimento,Júlio Gasparette,Solicita a limpeza nos córregos do Bairro Carlos Chagas e Francisco Bernanrdino.,Arquivada,REQ,46440,09/07/2013
5895.0,2013.0,Requerimento,Júlio Gasparette,Solicita a substituição de tampa de bueiro quebrada na Rua Agilberto Costa no Bairro São Benedito.,Arquivada,REQ,46438,09/07/2013
5894.0,2013.0,Requerimento,Júlio Gasparette,Solicita operação tapa buraco em toda extensão da Rua Vitorino Braga no Bairro Vitorino Braga.,Arquivada,REQ,46436,09/07/2013
5893.0,2013.0,Requerimento,Júlio Gasparette,Solicita a reforma da Praça no Bairro Nossa Senhora das Graças.,Arquivada,REQ,46431,09/07/2013
5892.0,2013.0,Requerimento,Júlio Gasparette,Solicita um estudo para aumento da quantidade de Ônibus nos horários de pico para atender a comunidade do Bairro Bom Sucesso.,Arquivada,REQ,46426,09/07/2013
5891.0,2013.0,Requerimento,Júlio Gasparette,"Solicita alteração do ponto final do ônibus 726, para que o mesmo vire na clinica Resgatando Vidas no Bairro Igrejinha/Cachoeira.",Arquivada,REQ,46422,09/07/2013
5890.0,2013.0,Requerimento,Júlio Gasparette,"Solicita estudo para implantação de um ""GUARD RAIL"" na Rua Eurico Viana no Bairro Vila Alpina.",Arquivada,REQ,46415,09/07/2013
5889.0,2013.0,Requerimento,Júlio Gasparette,Solicita estudo para implementação de feira livre no Bairro Grama.,Arquivada,REQ,46412,09/07/2013
5888.0,2013.0,Requerimento,Noraldino Júnior,Solicita o corte de uma árvore na rua sebastião de Andrade no Bairro Eldorado.,Arquivada,REQ,46569,09/07/2013
5887.0,2013.0,Requerimento,Noraldino Júnior,Solicita a instalação de semáforo no cruzamento entre as ruas Santo Antônio e Silva Jardim no Centro.,Arquivada,REQ,46568,09/07/2013
5886.0,2013.0,Requerimento,Zé Márcio,"Solicita junto a Settra, alteração de embarque e desembarque na rua Santo Antonio.",Arquivada,REQ,46066,09/07/2013
5885.0,2013.0,Requerimento,Zé Márcio,"Solicita junto a Settra, instalação de equipamentos para segurança de pedestres na Avenida Rio Branco com rua Afonso Pinto da Mota.",Arquivada,REQ,46065,09/07/2013
5884.0,2013.0,Requerimento,Wanderson Castelar,Solicita sinalização horizontal na Avenida dos Andradas.,Arquivada,REQ,46073,09/07/2013
5883.0,2013.0,Requerimento,Jucelio,"Solicita que o proprietário dos automóveis que ficam na rua João Manata, no bairro Dom Bosco, sejam guardados em local apropriado.",Arquivada,REQ,46097,09/07/2013
5882.0,2013.0,Requerimento,Betão,Solicita que a diferença dos créditos sejam encaminhados à Secretaria de Obras.,Arquivada,REQ,46033,09/07/2013
5881.0,2013.0,Requerimento,Betão,"Solicita contrução de boca de lobo na rua Engenheiro José Marcio Paschoalino, no bairro Jardim Gaúcho",Arquivada,REQ,46032,09/07/2013
5880.0,2013.0,Requerimento,Oliveira Tresse,"Solicita limpeza da rua Maria Augusta, no bairro Linhares.",Arquivada,REQ,46179,09/07/2013
5879.0,2013.0,Requerimento,Oliveira Tresse,"Solicita recapeamento asfáltico na rua Maria Augusta, no bairro Linhares.",Arquivada,REQ,46172,09/07/2013
5878.0,2013.0,Requerimento,Oliveira Tresse,"Solicita poda de árvores na Avenida Pedro Afonso Pinheiro, no bairro Jardim Gaúcho",Arquivada,REQ,46171,09/07/2013
5877.0,2013.0,Requerimento,Oliveira Tresse,"Solicita colocação de placa informativa na rua Ângelo Biggi, no bairro Linhares.",Arquivada,REQ,46170,09/07/2013
5876.0,2013.0,Requerimento,Oliveira Tresse,"Solicita reparo em bueiro na rua Clorindo Burnier, no bairro Vitorino Braga.",Arquivada,REQ,46169,09/07/2013
5875.0,2013.0,Requerimento,Oliveira Tresse,"Solicita pavimentação asfáltica na rua Ângelo Biggi, no bairro Linhares.",Arquivada,REQ,46168,09/07/2013
5874.0,2013.0,Requerimento,Oliveira Tresse,"Solicita limpeza e capina da rua João Theodósio de Araújo, no Bosque dos Pinheiros",Arquivada,REQ,46164,09/07/2013
5873.0,2013.0,Requerimento,Oliveira Tresse,"Solicita limpeza do bueiro na rua Orville Derby Dutra, no bairro Santa Rita.",Arquivada,REQ,46162,09/07/2013
5872.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita nivelar com asfalto a tampa da boca de lobo na Rua José Marcelino Teixeira, no Bairro Filgueiras.",Arquivada,REQ,46366,09/07/2013
5871.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita a colocação de placas de proibido estacionar em um dos sentidos, subida ou descida da Rua Professora Noêmia Mendonça, Bairro Teixeiras.",Arquivada,REQ,46364,09/07/2013
5870.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita limpeza e colocação de tampa na boca de lobo na Avenida Deusdedit Salgado próximo ao número 1.551, no Bairro Teixeiras.",Arquivada,REQ,46362,09/07/2013
5869.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita a colocação de redutor de velocidade ou sinalização para redução de velocidade na Rua Professora Noêmia Mendonça, Bairro teixeiras.",Arquivada,REQ,46360,09/07/2013
5868.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita o calçamento na subida da Rua Joaquim Guedes , Bairro Granjas Betânia.",Arquivada,REQ,46357,09/07/2013
5867.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita a colocação de um redutor de velocidade ou sinalização para redução de velocidade na Av. Maria de almeida Silva, no Bairro Teixeiras.",Arquivada,REQ,46354,09/07/2013
5866.0,2013.0,Requerimento,Vagner de Oliveira,"Solicita a revitalização da pintura da rotatória na Av. Maria de almeida Silva, no Bairro Teixeiras.",Arquivada,REQ,46352,09/07/2013
5865.0,2013.0,Requerimento,Zé Márcio,"Solicita junto a Secretaria de Obras, licitação pública para execução de um projeto de engenharia para o bairro Industrial.",Arquivada,REQ,46064,09/07/2013
5864.0,2013.0,Requerimento,Zé Márcio,"Solicita junto a Settra, instalação de bicicletários em locais públicos.",Arquivada,REQ,46063,09/07/2013
5863.0,2013.0,Requerimento,Zé Márcio,"Solicita estudo para mudança de itinerário das linhas 107 e 113, da vila Montanhesa.",Arquivada,REQ,46062,09/07/2013
5862.0,2013.0,Requerimento,Dr. Fiorilo,Solicita colocação de uma tampa de bueiro em frente ao nº15 da rua Lourdes Fonseca Pinto no Jardim de Ala,Arquivada,REQ,46464,09/07/2013
5861.0,2013.0,Requerimento,Dr. Fiorilo,Solicita fiscalização da SAU pondo em prática a execução da lei 10516/03,Em Tramitação,REQ,46463,09/07/2013
