Projeto,Ano,Tipo,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
40520.0,2013.0,Requerimento,"Solicita urbanização na rua Antônio Celeste, no bairro Centenário.",Arquivada,REQ,44205,11/07/2013,SIM,SIM
4028.0,2013.0,Requerimento,Solicita limpeza nas bocas de lobo no bairro Cerâmica.,Arquivada,REQ,44107,09/07/2013,SIM,SIM
36840.0,2013.0,Requerimento,"solicita recapemamento asfáltico na rua Orlando |Riani, no bairro NossaSenhora Aparecida.",Em Tramitação,REQ,43978,Data nao encontrada,NAO,TRAMITACAO
891.0,2013.0,Requerimento,Solicita o asfaltamento de toidas as ruas da Comunidade Santo Agostinho no bairro Santa Cruz,Arquivada,REQ,31106,05/02/2013,SIM,SIM
8890.0,2013.0,Requerimento,Solicita o asfaltamento de todas as ruas da comuidade Santa Clara no bairro Santa Cruz,Arquivada,REQ,27368,05/02/2013,SIM,SIM
5899.0,2013.0,Requerimento,Solicita a implantação de cobertura de ponto de ônibus na Rua Araxá no Bairro São Benedito.,Arquivada,REQ,46448,10/12/2013,SIM,SIM
5898.0,2013.0,Requerimento,Solicita a capina e limpeza na Rua Tenente Barroso no Bairro Manoel Honório.,Arquivada,REQ,46446,10/12/2013,SIM,SIM
5897.0,2013.0,Requerimento,Solicita a implantação de sinalização horizontal e vertical em todas as Ruas do Bairro Nova Gramado.,Arquivada,REQ,46444,10/12/2013,SIM,SIM
5896.0,2013.0,Requerimento,Solicita a limpeza nos córregos do Bairro Carlos Chagas e Francisco Bernanrdino.,Arquivada,REQ,46440,10/12/2013,SIM,SIM
5895.0,2013.0,Requerimento,Solicita a substituição de tampa de bueiro quebrada na Rua Agilberto Costa no Bairro São Benedito.,Arquivada,REQ,46438,10/12/2013,SIM,SIM
5894.0,2013.0,Requerimento,Solicita operação tapa buraco em toda extensão da Rua Vitorino Braga no Bairro Vitorino Braga.,Arquivada,REQ,46436,10/12/2013,SIM,SIM
5893.0,2013.0,Requerimento,Solicita a reforma da Praça no Bairro Nossa Senhora das Graças.,Arquivada,REQ,46431,10/12/2013,SIM,SIM
5892.0,2013.0,Requerimento,Solicita um estudo para aumento da quantidade de Ônibus nos horários de pico para atender a comunidade do Bairro Bom Sucesso.,Arquivada,REQ,46426,10/12/2013,SIM,SIM
5891.0,2013.0,Requerimento,"Solicita alteração do ponto final do ônibus 726, para que o mesmo vire na clinica Resgatando Vidas no Bairro Igrejinha/Cachoeira.",Arquivada,REQ,46422,10/12/2013,SIM,SIM
5890.0,2013.0,Requerimento,"Solicita estudo para implantação de um ""GUARD RAIL"" na Rua Eurico Viana no Bairro Vila Alpina.",Arquivada,REQ,46415,10/12/2013,SIM,SIM
5889.0,2013.0,Requerimento,Solicita estudo para implementação de feira livre no Bairro Grama.,Arquivada,REQ,46412,10/12/2013,SIM,SIM
