Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
204700,2012,Requerimento,"Solicita a construção de um muro na rua Alexandre Fazzi, bairro Mrumbi",Em Tramitação,Chico Evangelista,REQ,10975,,,
193600,2012,Requerimento,"Solicita a capina e limpeza na Av. Barão do Rio Branco, Centro",Em Tramitação,Noraldino,REQ,34734,,,
185800,2012,Requerimento,"Solicita posteamento e energia elétrica na rua Madre Maria José de Jesus, bairro Sagrado Coração de Jesus..",Em Tramitação,Betão,REQ,27822,,,
176700,2012,Requerimento,"Solicita a colocação de quebra-molas na rua Paracatu, bairro Bandeirantes",Em Tramitação,Chico Evangelista,REQ,31332,,,
56300,2012,Requerimento,Solicita a substituição das lampadas vapor de mercúrio para vapor de sódio das ruas do bairro Teixeiras.,Em Tramitação,Fiorilo,REQ,30452,,,
1684,2012,Requerimento,"Solicita a poda de árvore na rua Pitangui, bairro Eldorado.",Em Tramitação,Noraldino Junior,REQ,34605,,,
4109,2012,Requerimento,Solicita uma audiencia pública para se discutir sobre a questão da Obrigatoriedade do Uso de Uniformes em todas as Escolas do Município de Juiz de Fora.,Em Tramitação,José Tarcísio,REQ,13672,,,
4029,2012,Mensagem do Executivo,Dispõe sobre a Criação do Fundo Municipal de Incentivo de autoria do Executivo.,Transformado em Norma Jurídica,Executivo,MSGEX,37868,,,
4028,2012,Mensagem do Executivo,Dispõe sobre a doação do imóvel que menciona.,Arquivada,Executivo,MSGEX,37849,,,
4027,2012,Mensagem do Executivo,Dispõe sobre a desafetação e autoriza a alienação do imóvel que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,39213,,,
4026,2012,Mensagem do Executivo,Dispõe sobre a denominação de Logradouro Municipal.,Transformado em Norma Jurídica,Executivo,MSGEX,34816,,,
4025,2012,Mensagem do Executivo,Dispõe sobre a denominação de Logradouro Municipal.,Transformado em Norma Jurídica,Executivo,MSGEX,39211,,,
4024,2012,Mensagem do Executivo,Dispõe sobre denominação de Logradouro Municipal,Transformado em Norma Jurídica,Executivo,MSGEX,39210,,,
4023,2012,Mensagem do Executivo,Dispõe sobre a denominação de Logradouro Público Municipal,Transformado em Norma Jurídica,Executivo,MSGEX,39209,,,
4022,2012,Mensagem do Executivo,"Mantém as delimitações das áreas isóiti,as aprovadas através da Lei nº 12.460, de 30 de dezembro de 2011 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,39255,,,
4021,2012,Mensagem do Executivo,Autoriza a incorporação das áreas que menciona ao patrimônio da Empresa Regional de Habilitação de Juiz de Fora S.A. - EMCASA.,Arquivada,Executivo,MSGEX,30546,,,
4020,2012,Mensagem do Executivo,"Dá nova redação aos arts. 2º e 3º, da Lei nº 6.980, de 13 de outubro de 1986.",Arquivada,Executivo,MSGEX,39196,,,
4019,2012,Mensagem do Executivo,"Dispõe sobre a concessão de uso de área pública para construção de quiosque e exploração de cantina, bomboniére e lanchonete no Parque Natural Municipal da Lajinha.",Arquivada,Executivo,MSGEX,6846,,,
4018,2012,Mensagem do Executivo,Dispõe sobre denominação de Próprio Municipal e dá outras providências.,Transformado em Norma Jurídica,Executivo,MSGEX,3024,,,
4017,2012,Mensagem do Executivo,"Dispõe sobre a revogação da Lei nº 12.604, de 27 de junho de 2012.",Arquivada,Executivo,MSGEX,28244,,,
4016,2012,Mensagem do Executivo,"Autoriza a Concessão de Subvenções de caráter Social, Assistencial, Educacional e/ou Cultural para o exercício de 2013.",Transformado em Norma Jurídica,Executivo,MSGEX,39185,,,
4015,2012,Mensagem do Executivo,Estima a Receita e Fixa a Despesa do Município de Juiz de Fora para o Exercísio Financeiro de 2013.,Transformado em Norma Jurídica,Executivo,MSGEX,39183,,,
4014,2012,Mensagem do Executivo,Dispõe sobre o serviço de motofrete no Município de Juiz de Fora.,Arquivada,Executivo,MSGEX,36960,,,
4013,2012,Mensagem do Executivo,Dispõe sobre a concessão de uso do Estádio Municipal Radialista Mário Helênio.,Transformado em Norma Jurídica,Executivo,MSGEX,30035,,,
