Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
2269,2017,Requerimento,limpeza do bueiro localizado na Rua Carolina de Assis próximo Bairro Cruzeiro do Sul.,Arquivada,REQ,60890,,,
5353,2017,Requerimento,Tapa buraco - Rua Vicente Soares Silva; Bairro Santana,Aprovado,REQ,64735,,,
5352,2017,Requerimento,Tapa Buraco - Travessa Santo Expedito; Bairro São Francisco de Paula.,Aprovado,REQ,64734,,,
5351,2017,Requerimento,Tapa Buraco - Rua Sargento Cunha; Bairro Bandeirantes,Aprovado,REQ,64733,,,
5350,2017,Requerimento,Tapa buraco - Rua Senhor Mozzato; Bairro Recanto dos Lagos.,Aprovado,REQ,64732,,,
5349,2017,Requerimento,Tapa buraco - Rua Sebastião; Bairro São Francisco de Paula,Aprovado,REQ,64730,,,
5348,2017,Requerimento,Tapa Buraco - Rua Santana; Bairro Santa Terezinha,Aprovado,REQ,64729,,,
5347,2017,Requerimento,Tapa Buraco - Rua Rosário Fusco; Bairro Cidade do Sol.,Aprovado,REQ,64728,,,
5346,2017,Requerimento,Tapa Buraco - Rua Romeu Arcuri; Bairro Poço Rico.,Aprovado,REQ,64726,,,
5345,2017,Requerimento,Tapa Buraco - Rua Regente; Bairro Santana,Aprovado,REQ,64725,,,
5344,2017,Requerimento,Tapa Buraco - Rua Raul Allo Allo; Bairro Cidade do Sol,Aprovado,REQ,64724,,,
5343,2017,Requerimento,Tapa Buraco - Rua Profª Corina Erse; Bairro Poço Rico.,Aprovado,REQ,64723,,,
5342,2017,Requerimento,Tapa Buraco - Rua Prof. Luiz Viana; Bairro de Lourdes,Aprovado,REQ,64722,,,
5341,2017,Requerimento,Tapa buraco - Rua Pinto de Moura; Bairro Poço Rico.,Aprovado,REQ,64721,,,
5340,2017,Requerimento,Tapa buraco - Rua Pernambuco; Bairro Poço Rico.,Aprovado,REQ,64720,,,
5339,2017,Requerimento,Tapa buraco - Rua Paula Lima; Bairro Centro,Aprovado,REQ,64719,,,
5338,2017,Requerimento,Tapa buraco - Rua Pasteur; Bairro Centro.,Aprovado,REQ,64718,,,
5337,2017,Requerimento,Tapa buraco - Rua Paraná; Bairro Poço Rico.,Aprovado,REQ,64717,,,
