id_projeto_camara,nome_autor
10975,Chico Evangelista
34734,Noraldino
27822,Betão
31332,Chico Evangelista
30452,Fiorilo
14196,Noraldino Junior
13672,José Tarcísio
37868,Executivo
37849,Executivo
39213,Executivo
34816,Executivo
39211,Executivo
39210,Executivo
39209,Executivo
39255,Executivo
30546,Executivo
39196,Executivo
6846,Executivo
3024,Executivo
28244,Executivo
39185,Executivo
39183,Executivo
36960,Executivo
30035,Executivo
4843,Executivo
39179,Executivo
3023,Executivo
3015,Executivo
39171,Executivo
667,Executivo
2942,Executivo
2810,Executivo
33634,Executivo
33625,Executivo
25593,Executivo
39159,Executivo
39158,Executivo
25453,Executivo
25682,Executivo
3263,Executivo
39144,Executivo
39152,Executivo
3018,Executivo
39143,Executivo
39135,Executivo
39134,Executivo
1728,Executivo
302,Executivo
301,Executivo
35216,Executivo
30545,Executivo
36215,Executivo
30537,Executivo
1977,Executivo
1823,Executivo
38624,Executivo
31562,Executivo
25592,Executivo
25588,Executivo
546,Executivo
3014,Executivo
2817,Executivo
39069,Executivo
30544,Executivo
3274,Executivo
35215,Executivo
25584,Executivo
39040,Executivo
35887,Executivo
39041,Executivo.
39022,Executivo
18130,Executivo
166,Fiorilo
43385,Ana Rossignoli
1556,Flávio Cheker
23036,Isauro Calais
13753,Isauro Calais
13752,Isauro Calais
38701,Wanderson Castelar
38700,Rodrigo Mattos
19722,Julio Gasparette
19721,Julio Gasparette
19720,Julio Gasparette
15140,Chico Evangelista
38699,Noraldino Junior
31787,Júlio Gasparette
31786,Julio Gasparette
31785,Júlio Gasparette
9417,Julio Gasparette
34478,João do Joaninho
18454,Wanderson Castelar
18453,Wanderson Castelar
28512,Wanderson Castelar
10930,Ana do Padre Frederico
32205,Ana do Padre Frederico
27128,Ana do Padre Frederico
32204,Ana do Padre Frederico
24120,Fiorilo
5408,Betão
6858,Isauro Calais
39120,Flávio Cheker
33021,Flávio Cheker
33020,Flávio Cheker
21883,Flávio Cheker
27765,Isauro Calais
353,Noraldino Junior
34617,Noraldino Junior
36921,Chico Evangelista
32203,Ana do Padre Frederico
12895,Ana do Padre Frederico
13782,Gasparette
31045,Gasparette
31255,Gasparette
21090,Gasparette
31044,Gasparette
35728,Gasparette
13781,Gasparette
31254,Gasparette
31253,Gasparette
14106,Gasparette
9416,Gasparette
15323,Gasparette
4003,Gasparette
25934,Gasparette
25933,Gasparette
24137,Gasparette
4002,Gasparette
15322,Gasparette
4,Betão
38698,Wanderson Castelar
14639,Ana do Padre Frederico
13590,Ana do Padre Frederico
22177,Ana do Padre Frederico
14638,Ana do Padre Frederico
14636,Ana do Padre Frederico
33330,Ana do Padre Frederico
10929,Ana do Padre Frederico
23028,Betão
3634,Betão
3633,Betão
9415,Castelar
19718,Chico Evangelista
15403,Tico-Tico
28509,Wanderson Castelar
19018,Wanderson Castelar
23027,Betão
23026,Betão
22806,Betão
12324,Betão
33019,Flávio Cheker
33018,Flávio Cheker
9196,Flávio Cheker
31784,Tico-Tico
13535,Tico-Tico
19173,Tico-Tico
4324,Tico-Tico
4323,Tico-Tico
5162,Gasparette
5161,Gasparette
4322,Gasparette
3866,Isauro Calais
30655,Isauro Calais
30728,Isauro Calais
13116,Isauro
6888,José Emanuel
10046,Chico Evangelista
25622,Todos os Vereadores
30377,Fiorilo
32876,Wanderson Castelar
38499,Betão
37641,Gasparette
39037,Wanderson Castelar
39036,Wanderson Castelar
10925,Isauro Calais
10924,Isauro Calais
10045,Fiorilo
38682,Flávio Cheker
9413,Tico-Tico
14103,Tico-Tico
4319,Tico-Tico
31780,Tico-Tico
8900,Chico Evangelista
39197,Wanderson Castelar
31251,Noraldino
22343,Noraldino
31778,Noraldino
31777,Noraldino
10043,Noraldino
22342,Noraldino
31776,Noraldino
31775,Noraldino
14102,Noraldino
8331,Noraldino
5783,Noraldino
14099,Noraldino
16345,Noraldino
4318,Noraldino
22341,Noraldino
22340,Noraldino
14628,Noraldino
26885,Noraldino
26884,Noraldino
21879,Noraldino
26883,Noraldino
31509,Noraldino
14098,Noraldino
9412,Noraldino
26882,Noraldino
23016,Noraldino Junior
4317,Gasparette
23571,Gasparette
9035,Gasparette
4001,Fiorilo
352,Noraldino
28508,Wanderson Castelar
19716,Wanderson Castelar
10297,Fiorilo
10041,Fiorilo
30375,Fiorilo
31433,Fiorilo
31432,Fiorilo
31431,Fiorilo
30374,Fiorilo
31430,Fiorilo
7323,Flávio Cheker
21876,Flávio Cheker
35660,Flávio Cheker
38685,Noraldino
32654,Noraldino
21875,Noraldino
3319,Noraldino
3318,Noraldino
28115,Noraldino
4316,Noraldino
3317,Noraldino
34961,Noraldino
15320,Noraldino
9411,Noraldino
9410,Noraldino
27764,Noraldino
11339,Noraldino
37832,Noraldino
33012,Noraldino
10680,Noraldino
10679,Noraldino
10678,Noraldino
27763,Noraldino
11338,Noraldino
27762,Noraldino
27761,Noraldino
34960,Noraldino
4315,Noraldino
6683,Noraldino
27760,Noraldino
34860,Noraldino
37831,Noraldino
37830,Noraldino
30835,Noraldino
33010,Noraldino
11337,Noraldino
11336,Noraldino
4313,Noraldino
4312,Noraldino
11335,Noraldino
37829,Noraldino
14097,Noraldino
23989,Noraldino
10922,Noraldino
14096,Noraldino
26596,Noraldino
4309,Noraldino
37828,Noraldino
22469,Noraldino
32473,Noraldino
22468,Noraldino
33009,Noraldino
33008,Noraldino
37827,Noraldino
32472,Noraldino
8716,Noraldino
37826,Noraldino
37825,Noraldino
37824,Noraldino
37823,Noraldino
9409,Noraldino
34959,Noraldino
4307,Noraldino
32471,Noraldino
37822,Noraldino
4305,Noraldino
9408,Noraldino
15526,Noraldino
30945,Noraldino
5781,Noraldino
34613,Noraldino
19709,Noraldino
34612,Noraldino
4304,Noraldino
31508,Noraldino
4303,Noraldino
14094,Noraldino
12084,Noraldino
20577,Isauro Calais
34611,Isauro Calais
2120,Isauro Calais
2537,Chico Evangelista
2536,Chico Evangelista
18427,Ana do Padre Frederico
10920,Ana do Padre Frederico
35147,Wanderson Castelar
20900,Flávio Cheker
35146,Noraldino
35145,Noraldino
1629,Noraldino
20337,Noraldino
15371,Noraldino
35144,Noraldino
35143,Noraldino
15525,Noraldino
15524,Noraldino
32282,Noraldino
35142,Noraldino
35141,Noraldino
8885,Noraldino
35140,Betão
35139,Betão
35138,Betão
35137,Betão
8884,Ana do Padre Frederico
16164,Ana do Padre Frederico
13112,Ana do Padre Frederico
12893,Ana do Padre Frederico
12776,Ana do Padre Frederico
35136,Figueirôa
35135,Figueirôa
11827,Figueirôa
16849,Figueirôa
35134,Figueirôa
35133,Figueirôa
19952,Flávio Cheker
5261,Flávio Cheker
3410,Gasparette
16848,Figueirôa
22167,Figueirôa
10917,Figueirôa
35132,Flávio Cheker
20571,Gasparette
26220,Chico Evangelista
35131,Ana do Padre Frederico
35130,Ana do Padre Frederico
35129,Ana do Padre Frederico
19706,Wanderson Castelar
28500,Wanderson Castelar
28499,Wanderson Castelar
6640,Wanderson Castelar
17791,Wanderson Castelar
3865,Wanderson Castelar
4301,Wanderson Castelar
27759,Betão
6639,Betão
27758,Betão
20691,Betão
27755,Betão
3864,Betão
27752,Betão
32651,Betão
5779,Chico Evangelista
6638,Gasparette
6637,Gasparette
6682,Gasparette
8705,Isauro Calais
34609,Isauro Calais
3863,Isauro Calais
16741,Fiorilo
20896,Flávio Cheker
6341,Fiorilo
23988,Flávio Cheker
21179,Figueirôa
10916,Figueiroa
35016,Figueirôa
35767,Figueirôa
18423,Figueirôa
20336,Chico Evangelista
20335,Chico Evangelista
11661,Noraldino Junior
9405,Noraldino Junior
6636,Noraldino Junior
14090,Noraldino Junior
26594,Noraldino Junior
9402,Noraldino Junior
30942,Noraldino Junior
4299,Noraldino Junior
4298,Noraldino Junior
4297,Noraldino Junior
37821,Noraldino Junior
31507,Noraldino Junior
26438,Noraldino Junior
26437,Noraldino Junior
33632,Noraldino Junior
33631,Noraldino Junior
19990,Noraldino Junior
12068,Noraldino Junior
229,Noraldino Junior
153,Noraldino Junior
32037,Noraldino Junior
3629,Noraldino Junior
3628,Noraldino Junior
30941,Noraldino Junior
3316,Noraldino Junior
22461,Noraldino Junior
37820,Noraldino Junior
9400,Noraldino Junior
6635,Noraldino Junior
21867,Noraldino Junior
3315,Noraldino Junior
3314,Noraldino Junior
3313,Noraldino Junior
17232,Noraldino Junior
14088,Noraldino Junior
14087,Noraldino Junior
32468,Noraldino Junior
21866,Noraldino Junior
18729,Noraldino Junior
12067,Figueirôa
16737,Fiorilo
10011,Fiorilo
10010,Fiorilo
11111,Fiorilo
24407,João do Joaninho
18419,João do Joaninho
25906,João do Joaninho
25904,João do Joaninho
25902,João do Joaninho
9626,João do Joaninho
3626,Isauro Calais
32281,Isauro Calais
14085,Isauro Calais
31879,Isauro Calais
5346,Isauro Calais
31636,Isauro Calais
33480,Flávio Cheker
32649,Flávio Cheker
29612,Ana do Padre Frederico
22165,Ana do Padre Frederico
5258,Ana do Padre Frederico
21089,Ana do Padre Frederico
19948,Ana do Padre Frederico
15082,Ana do Padre Frederico
27959,Ana do Padre Frederico
4895,Ana do Padre Frederico
3174,Ana do Padre Frederico
8703,Ana do Padre Frederico
38686,Flávio Cheker
3232,Gasparette
13533,Gasparette
32648,Chico Evangelista
26593,Isauro Calais
26592,Isauro Calais
22739,Isauro Calais
18727,Isauro Calais
18726,Isauro Calais
33545,Isauro Calais
32467,Isauro Calais
9177,Isauro Calais
5573,Isauro Calais
4291,Isauro Calais
2118,Isauro Calais
4290,Isauro Calais
3862,Isauro Calais
11331,Isauro Calais
34476,Isauro Calais
34475,Isauro Calais
18637,Isauro Calais
5255,Isauro Calais
15308,Isauro Calais
35088,Isauro Calais
15887,Francisco Canalli
16163,Francisco Canalli
34474,Flávio Cheker
21178,Flávio Cheker
5254,Flávio Cheker
15794,Flávio Cheker
4829,Chico Evangelista
23553,Chico Evangelista
4000,Chico Evangelista
4283,Chico Evangelista
26194,Chico Evangelista
22162,Chico Evangelista
38697,Pastor Carlos
32123,Carlos Bonifácio
2876,Francisco Canalli
38696,Francisco Canalli
6681,Gasparette
10000,Gasparette
4278,Wanderson Castelar
4514,Chico Evangelista
21961,Flávio Cheker
15134,Chico Evangelista
33477,Chico Evangelista
13532,Chico Evangelista
13355,Chico Evangelista
28495,Chico Evangelista
23613,Chico Evangelista
4635,Ana do Padre Frederico
8697,Ana do Padre Frederico
13274,Ana do Padre Frederico
8696,Ana do Padre Frederico
27956,Ana do Padre Frederico
970,Ana do Padre Frederico
8695,Ana do Padre Frederico
18868,A na do Padre Frederico
18867,Ana do Padre Frederico
18866,Ana do Padre Frederico
18865,Ana do Padre Frederico
39182,Flávio Cheker
33630,Noraldino Junior
7731,Noraldino Junior
11329,Noraldino Junior
11328,Noraldino Junior
4276,Noraldino Junior
9394,Noraldino Junior
4275,Noraldino Junior
31768,Noraldino Junior
4960,Noraldino Junior
7061,Noraldino Junior
27841,Noraldino Junior
14080,Noraldino Junior
21864,Noraldino Junior
31767,Noraldino Junior
20891,Noraldino Junior
33667,Noraldino Junior
22738,Noraldino Junior
37581,Noraldino Junior
14079,Noraldino Junior
24264,Noraldino Junior
22159,Noraldino Junior
8879,Noraldino Junior
14078,Noraldino Junior
17479,Noraldino Junior
11327,Noraldino Junior
34605,Noraldino Junior
7140,Noraldino Junior
14077,Noraldino Junior
14076,Noraldino Junior
4274,Noraldino Junior
31765,Noraldino Junior
31764,Noraldino Junior
12321,Noraldino Junior
14075,Noraldino Junior
14074,Noraldino Junior
9393,Noraldino Junior
31244,Noraldino Junior
31858,Noraldino Junior
31243,Noraldino Junior
34603,Noraldino Junior
31763,Noraldino Junior
31762,Noraldino Junior
12320,Noraldino Junior
9392,Noraldino Junior
11326,Noraldino Junior
35014,Noraldino Junior
35013,Noraldino Junior
9391,Noraldino Junior
14072,Noraldino Junior
31242,Noraldino Junior
11325,Noraldino Junior
37063,Noraldino Junior
9390,Noraldino Junior
31761,Noraldino Junior
11324,Noraldino Junior
11323,Noraldino Junior
7059,Noraldino Junior
33629,Noraldino Junior
21861,Noraldino Junior
34601,Noraldino Junior
31241,Noraldino Junior
31760,Noraldino Junior
4272,Noraldino Junior
16230,Noraldino Junior
22157,Noraldino Junior
20330,Noraldino Junior
1681,Noraldino Junior
22156,Noraldino Junior
32360,Noraldino Junior
21860,Noraldino Junior
4271,Noraldino Junior
11322,Noraldino Junior
35723,Noraldino Junior
9389,Noraldino Junior
7058,Noraldino Junior
21859,Noraldino Junior
32646,Noraldino Junior
9388,Noraldino Junior
31240,Noraldino Junior
35722,Noraldino Junior
8694,Noraldino Junior
32465,Noraldino Junior
4270,Noraldino Junior
19544,Noraldino Junior
32998,Noraldino Junior
32997,Noraldino Junior
21858,Noraldino Junior
13778,Noraldino Junior
9385,Noraldino Junior
14071,Noraldino Junior
4269,Noraldino Junior
4268,Noraldino Junior
19693,Noraldino Junior
13220,Noraldino Junior
15356,Noraldino Junior
33513,Noraldino Junior
30580,Noraldino Junior
33472,Noraldino Junior
17229,Noraldino Junior
14607,Noraldino Junior
17228,Noraldino Junior
17227,Noraldino Junior
24263,Noraldino Junior
24262,Noraldino Junior
15355,Noraldino Junior
14605,Noraldino Junior
17226,Noraldino Junior
31238,Noraldino Junior
4267,Noraldino Junior
14604,Noraldino Junior
20329,Noraldino Junior
33471,Noraldino Junior
14603,Noraldino Junior
14602,Noraldino Junior
14601,Noraldino Junior
17225,Noraldino Junior
11417,Noraldino Junior
20328,Noraldino Junior
32463,Noraldino Junior
34859,Noraldino Junior
4266,Noraldino Junior
4265,Noraldino Junior
17222,Noraldino Junior
32644,Noraldino Junior
20327,Noraldino Junior
20326,Noraldino Junior
19692,Noraldino Junior
4264,Noraldino Junior
31759,Noraldino Junior
34594,Noraldino Junior
14070,Noraldino Junior
14249,Noraldino Junior
18815,Noraldino Junior
15353,Noraldino Junior
21171,Noraldino Junior
14600,Noraldino Junior
32642,Noraldino Junior
34593,Noraldino Junior
32641,Noraldino Junior
17221,Noraldino Junior
14599,Noraldino Junior
31231,Noraldino Junior
20325,Noraldino Junior
14069,Noraldino Junior
31850,Noraldino Junior
33470,Noraldino Junior
34592,Noraldino Junior
4430,Noraldino Junior
4263,Noraldino Junior
15504,Noraldino Junior
24261,Noraldino Junior
15501,Noraldino Junior
21084,Noraldino Junior
28264,Flávio Cheker
4262,Wanderson Castelar
16552,Roberto Cupolillo
4261,Roberto Cupolillo
32874,Roberto Cupolillo
5547,Gasparette
9379,Gasparette
16484,Fiorilo
9992,Fiorilo
9991,Fiorilo
9990,Fiorilo
16648,Ana do Padre Frederico
10908,Ana do Padre Frederico
21083,Ana do Padre Frederico
10907,Ana do Padre Frederico
5850,Ana do Padre Frederico
32763,Ana do Padre Frederico
32995,Ana do Padre Frederico
20882,Ana do Padre Frederico
6325,Pastor Carlos
27416,Pastor Carlos
38681,Flávio Cheker
9986,Fiorilo
9985,Fiorilo
31505,Chico Evangelista
19868,Chico Evangelista
32637,Chico Evangelista
10904,Ana do Padre Frederico
226,José Emanuel
368,Flávio Cheker
26580,Noraldino Junior
9614,Noraldino Junior
9613,Noraldino Junior
3225,Noraldino Junior
19322,Noraldino Junior
14067,Noraldino Junior
14066,Noraldino Junior
14065,Noraldino Junior
4259,Noraldino Junior
14064,Noraldino Junior
14063,Noraldino Junior
32009,Noraldino Junior
26579,Noraldino Junior
26578,Noraldino Junior
8549,Noraldino Junior
12774,Noraldino Junior
31110,Noraldino Junior
26577,Noraldino Junior
