Projeto,Ano,Tipo,Autor,Ementa,Situação
204700.0,2012.0,Requerimento,Chico Evangelista,"Solicita a construção de um muro na rua Alexandre Fazzi, bairro Mrumbi",Em Tramitação
193600.0,2012.0,Requerimento,Noraldino,"Solicita a capina e limpeza na Av. Barão do Rio Branco, Centro",Em Tramitação
185800.0,2012.0,Requerimento,Betão,"Solicita posteamento e energia elétrica na rua Madre Maria José de Jesus, bairro Sagrado Coração de Jesus..",Em Tramitação
176700.0,2012.0,Requerimento,Chico Evangelista,"Solicita a colocação de quebra-molas na rua Paracatu, bairro Bandeirantes",Em Tramitação
56300.0,2012.0,Requerimento,Fiorilo,Solicita a substituição das lampadas vapor de mercúrio para vapor de sódio das ruas do bairro Teixeiras.,Em Tramitação
1684.0,2012.0,Requerimento,Noraldino Junior,"Solicita a poda de árvore na rua Pitangui, bairro Eldorado.",Em Tramitação
4109.0,2012.0,Requerimento,José Tarcísio,Solicita uma audiencia pública para se discutir sobre a questão da Obrigatoriedade do Uso de Uniformes em todas as Escolas do Município de Juiz de Fora.,Em Tramitação
4029.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a Criação do Fundo Municipal de Incentivo de autoria do Executivo.,Transformado em Norma Jurídica
4028.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a doação do imóvel que menciona.,Arquivada
4027.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a desafetação e autoriza a alienação do imóvel que menciona.,Transformado em Norma Jurídica
4026.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a denominação de Logradouro Municipal.,Transformado em Norma Jurídica
4025.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a denominação de Logradouro Municipal.,Transformado em Norma Jurídica
4024.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre denominação de Logradouro Municipal,Transformado em Norma Jurídica
4023.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a denominação de Logradouro Público Municipal,Transformado em Norma Jurídica
4022.0,2012.0,Mensagem do Executivo,Executivo,"Mantém as delimitações das áreas isóiti,as aprovadas através da Lei nº 12.460, de 30 de dezembro de 2011 e dá outras providências.",Transformado em Norma Jurídica
4021.0,2012.0,Mensagem do Executivo,Executivo,Autoriza a incorporação das áreas que menciona ao patrimônio da Empresa Regional de Habilitação de Juiz de Fora S.A. - EMCASA.,Arquivada
4020.0,2012.0,Mensagem do Executivo,Executivo,"Dá nova redação aos arts. 2º e 3º, da Lei nº 6.980, de 13 de outubro de 1986.",Arquivada
4019.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a concessão de uso de área pública para construção de quiosque e exploração de cantina, bomboniére e lanchonete no Parque Natural Municipal da Lajinha.",Arquivada
4018.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre denominação de Próprio Municipal e dá outras providências.,Transformado em Norma Jurídica
4017.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a revogação da Lei nº 12.604, de 27 de junho de 2012.",Arquivada
4016.0,2012.0,Mensagem do Executivo,Executivo,"Autoriza a Concessão de Subvenções de caráter Social, Assistencial, Educacional e/ou Cultural para o exercício de 2013.",Transformado em Norma Jurídica
4015.0,2012.0,Mensagem do Executivo,Executivo,Estima a Receita e Fixa a Despesa do Município de Juiz de Fora para o Exercísio Financeiro de 2013.,Transformado em Norma Jurídica
4014.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre o serviço de motofrete no Município de Juiz de Fora.,Arquivada
4013.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a concessão de uso do Estádio Municipal Radialista Mário Helênio.,Transformado em Norma Jurídica
4012.0,2012.0,Mensagem do Executivo,Executivo,"Adequa o Processo de Seleção e os Mandatos dos Conselheiros Tutelares do Município de Juiz de Fora às modificações introduzidas pela Lei Federal nº 12.696, de 25 de julho de 2012, no Estatuto da Criança e do Adolescente, Lei Federal, nº 8.069, de 13 de julho de 1990.",Transformado em Norma Jurídica
4011.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a alienação do imóvel que menciona""",Transformado em Norma Jurídica
4010.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a denominação de Próprio Municipal e dá outras providências.,Arquivada
4009.0,2012.0,Mensagem do Executivo,Executivo,"Altera a redação da Lei nº 8.948, de 31 de outubro de 1996, que ""indica casos de interesse social e autoriza o Executivo a doar área municipal e dá outras providências"", autoriza o recebimento de área em doação e autoriza a desafetação e posterior doação de área, para implementação de programa habitacional.",Transformado em Norma Jurídica
